Est Id,State Id,Premise Name,Premise Address1,Final Score SUM,Insp Type,Calculation1,Permit Status MIN,Territory,Insp Date,Est Type,Type Description,Transitional Type Desc,County,State Id,Premise Address2,Premise City,Premise State,Premise Zip,Premise Phone,Premise Email,Website,Owner Name,Opening Date,Update Date,Status,Grade,Score SUM,Insp Date,Comments
56008,4032010578,BOSTON MARKET,3029 AUTO DR,94.5,1,,A,1,7/2/2008,1,1 - Restaurant,FOOD,32,4032010578,0,DURHAM,NC,27707,0,0,0,0,1/19/1994,12/10/2011,DELETED,A,92.5,7/2/2008,All food items must be off of floor.
57110,4032011748,BURGER KING #9653,4829 HOPE VALLEY RD,99,1,,A,1,7/2/2008,1,1 - Restaurant,FOOD,32,4032011748,0,DURHAM,NC,27707,0,0,0,0,4/30/2007,12/10/2011,DELETED,A,97,7/2/2008,All utensils must be air dried.
60851,4032430130,RHD DURHAM AREA ADOLESCENT PROGRAM,947 CLARION DRIVE,4,1,,A,10,7/7/2008,43,43 - Residential Care,N/A,32,4032430130,0,DURHAM,NC,27705,(919) 382-2835,0,0,0,6/2/2008,7/18/2013,DELETED,,4,7/7/2008,Clean broiler pan in cupboard.
55807,4032010374,JAMAICA JAMACIA,4853 S APEX HWY,93.5,1,,A,1,7/7/2008,1,1 - Restaurant,FOOD,32,4032010374,0,DURHAM,NC,27713,0,0,0,0,7/1/1990,12/10/2011,DELETED,A,93.5,7/7/2008,all food in the hot holding unit shall be held at 135F or above
56799,4032011431,TROPICAL SMOOTHIE CAFE AND DELI,6910 FAYETTEVILLE RD,95.5,1,,A,1,7/8/2008,1,1 - Restaurant,FOOD,32,4032011431,SUITE 148,DURHAM,NC,27713,0,0,0,0,9/15/2003,12/10/2011,DELETED,A,95.5,7/8/2008,"Cleaning needed outside of equipment, shelves in walk-in cooler"
61569,4032011848,C'S SOUL FOOD,"826 FAYETTEVILLE ST , SUITE 110",96.5,1,,U,1,7/9/2008,1,1 - Restaurant,FOOD,32,4032011848,0,DURHAM,NC,27701,0,0,0,C'S SOUL FOOD,5/20/2008,12/10/2011,DELETED,A,96.5,7/9/2008,Flies present in kitchen
56438,4032011015,SOUPER SALAD 126,202 NC HWY 54,97,1,,A,1,7/15/2008,1,1 - Restaurant,FOOD,32,4032011015,SUITE 107,DURHAM,NC,27707,0,0,0,0,4/21/1999,12/10/2011,DELETED,A,97,7/15/2008,"Cleaning needed on shelves in reach-in refrigerator, shelves in dry storage, place where food trays are stored in dining room, surfaces of storage containers, outside of equipment"
61785,4032430179,BATIER RESIDENCE,3302 NANTUCKET AVENUE,2,1,,A,6,7/18/2008,43,43 - Residential Care,N/A,32,4032430179,0,DURHAM,NC,27703,0,0,0,0,7/17/2008,7/18/2013,DELETED,,2,7/18/2008,PROPERLY STORE CHEMICALS AS DISCUSSED.
56891,4032011525,COMA RICO,3411 UNIVERSITY DRIVE,93,1,,A,1,7/22/2008,1,1 - Restaurant,FOOD,32,4032011525,0,DURHAM,NC,27707,0,0,0,0,8/30/2004,12/10/2011,DELETED,A,93,7/22/2008,chemical spray bottles were not labeled
56537,4032011124,SUBWAY  11138,1000 N MIAMI BLVD,95.5,1,,A,1,7/22/2008,1,1 - Restaurant,FOOD,32,4032011124,0,DURHAM,NC,27703,0,0,0,0,8/17/2000,12/10/2011,DELETED,A,95.5,7/22/2008,A few flies present in back area.
57816,4032020636,DREAM DINNERS OF DURHAM,5842 FAYETTEVILLE RD,101.5,1,,A,1,7/23/2008,2,2 - Food Stands,FOOD,32,4032020636,SUITE 114,DURHAM,NC,27713,0,0,0,0,6/19/2007,12/10/2011,DELETED,A,99.5,7/23/2008,"Frozen cooked pork thawing in standing water.  When thawing meats, one of four methods must be used:  Thaw: 1) under cool running water 2) in refrigerator 3) in microwave only if cooked immediately after 4) as part of the cooking process"
60861,4032430137,ROSE OF SHARON ADOLESCENT TREATMENT HOME,13 RHYN COURT,4,1,,A,1,7/24/2008,43,43 - Residential Care,N/A,32,4032430137,0,DURHAM,NC,27704,(919) 220-2492,0,0,0,6/2/2008,7/18/2013,DELETED,,4,7/24/2008,Finish on some pans is scratched & also some rust on some pans.  These need to be replaced.
56923,4032011557,SHADE TREE COFFEE,2816 ERWIN ROAD,99.5,1,,A,1,7/24/2008,1,1 - Restaurant,FOOD,32,4032011557,SUITE 201,DURHAM,NC,27705,0,0,0,0,1/10/2005,12/10/2011,DELETED,A,99.5,7/24/2008,Hair restraints
60839,4032430118,NEW HORIZON,801 LORAINE STREET,2,1,,A,2,7/28/2008,43,43 - Residential Care,N/A,32,4032430118,0,DURHAM,NC,27704,(919) 220-0614,0,0,0,6/2/2008,12/10/2011,DELETED,,2,7/28/2008,Repair drawer face in bathroom.
57076,4032011713,DUKE CENTER FOR INTEGRATIVE ME,3475 ERWIN RD,99,1,,A,1,7/30/2008,1,1 - Restaurant,FOOD,32,4032011713,0,DURHAM,NC,27705,0,0,0,0,1/30/2007,12/10/2011,DELETED,A,97,7/30/2008,"clean floor around drains,corners,edges"
59459,4032011833,MILANO'S PIZZA,2945 S MIAMI BLVD,90,2,,E,1,7/30/2008,1,1 - Restaurant,FOOD,32,4032011833,0,DURHAM,NC,27703,0,0,0,0,4/17/2008,12/10/2011,DELETED,A,90,7/30/2008,Adjust hot water temp to 130f minimum.
61754,4032610109,"JOHN L MCCAIN, JR",THE INK WELL,0,1,,A,2,7/30/2008,61,61 - Tattoo Artists,N/A,32,4032610109,309 S ALSTON AVE,DURHAM,NC,27701,0,0,0,0,7/29/2008,12/10/2011,DELETED,,0,7/30/2008,keep dyes in cabinets
57036,4032011671,PIZZARIA ROMA,3511 WITHERSPOON BLVD,97,1,,A,1,8/4/2008,1,1 - Restaurant,FOOD,32,4032011671,SUITE 107,DURHAM,NC,27707,0,0,0,0,7/19/2006,12/10/2011,DELETED,A,97,8/4/2008,clean ice dispenser on soda machine
60838,4032430117,NELSON HIGHWAY HOUSE,2316 NELSON HIGHWAY,2,1,,A,4,8/7/2008,43,43 - Residential Care,N/A,32,4032430117,0,CHAPEL HILL,NC,27517,(919) 402-8477,0,0,0,6/2/2008,7/18/2013,DELETED,,2,8/7/2008,Hallway bathroom - caulking is molding and deteriorating - needs replacing.
61933,4032430182,ALTERNATIVE LIFE PROGRAMS,4923 FAYETTEVILLE RD,2,1,,A,1,8/7/2008,43,43 - Residential Care,N/A,32,4032430182,0,DURHAM,NC,27713,(919) 201-8743,0,0,0,8/6/2008,7/18/2013,DELETED,,2,8/7/2008,Ventilation vent in hallway needs cleaning
60820,4032430106,MCKINLEY'S BETTER LIVING RESIDENTIAL SERVICES,104 PUTNAM LANE,0,1,,A,5,8/8/2008,43,43 - Residential Care,N/A,32,4032430106,0,DURHAM,NC,27713,(919) 361-9750,0,0,0,6/2/2008,7/18/2013,DELETED,,0,8/8/2008,"thermometers needed in all refrigerators._x000D_
_x000D_
Metal stem thermometer needed to check internal food temps.  Dial should read 0-220F"
56924,4032011558,PITTSBURGH PIZZA & WINGS,121 SHERRON ROAD  103,95,1,,A,1,8/11/2008,1,1 - Restaurant,FOOD,32,4032011558,0,DURHAM,NC,27703,0,0,0,0,1/10/2005,12/10/2011,DELETED,A,95,8/11/2008,Clean hand sink of food remnants.
61911,4032430181,SEVEN HEAVEN INDEPENDENT ASSISTANT LIVING,730 BIG TWIG LANE,4,1,,A,6,8/11/2008,43,43 - Residential Care,N/A,32,4032430181,0,DURHAM,NC,27703,0,0,0,0,8/8/2008,7/18/2013,DELETED,,4,8/11/2008,Mow or cut grasses.
60810,4032430096,JOURNEY'S HOME I,613 DUNBAR STREET,7,1,,A,1,8/11/2008,43,43 - Residential Care,N/A,32,4032430096,0,DURHAM,NC,27701,(919) 530-8378,0,0,0,6/2/2008,7/18/2013,DELETED,,7,8/11/2008,"clean floor-edges,corners-kitchen floor has broken place"
57073,4032011710,PIZZA INN,3906 N DUKE ST,96,1,,A,1,8/18/2008,1,1 - Restaurant,FOOD,32,4032011710,0,DURHAM,NC,27704,0,0,0,0,1/8/2007,12/10/2011,DELETED,A,96,8/18/2008,Clean canopener and dishwashing machine.
60813,4032430099,KENT STREET HOME,1600 KENT STREET,6,1,,A,3,8/18/2008,43,43 - Residential Care,N/A,32,4032430099,0,DURHAM,NC,27707,(919) 493-3123,0,0,0,6/2/2008,7/18/2013,DELETED,,6,8/18/2008,carpet has stains-food papers under beds
58277,4032230001,ARROWHEAD INN,106 MASON RD,99.5,1,,A,2,8/19/2008,23,23 - Bed & Breakfast Inn,LODGING,32,4032230001,0,DURHAM,NC,27712,0,0,0,0,8/3/1992,2/16/2012,ACTIVE,,99.5,8/19/2008,Minor floor repair needed.
57126,4032011764,BAKEHOUSE BISTRO,6905-104 FAYETTEVILLE RD,97.5,1,,A,1,8/20/2008,1,1 - Restaurant,FOOD,32,4032011764,0,DURHAM,NC,27713,0,0,0,0,6/19/2007,12/10/2011,DELETED,A,95.5,8/20/2008,Ceilings around vents needs cleaning to remove dust
58375,4032300097,CARNICERIA Y TIENDA GUERREVO,2929 N ROXBORO RD,95.5,1,,A,2,8/20/2008,30,30 - Meat Market,FOOD,32,4032300097,0,DURHAM,NC,27704,0,0,0,CARNICERIA Y TIENDA GUERREVO,4/30/2007,12/10/2011,DELETED,A,95.5,8/20/2008,1 display case too warm 50F.  Should be 45F or below.
56113,4032010685,TOREROS  2,3808 GUESS RD,92,1,,A,1,8/21/2008,1,1 - Restaurant,FOOD,32,4032010685,0,DURHAM,NC,27705,0,0,0,0,4/4/1995,12/10/2011,DELETED,A,92,8/21/2008,clean floor in walk in cooler around edges
56404,4032010981,SUBWAY,2526 ERWIN RD,98,1,,A,1,8/21/2008,1,1 - Restaurant,FOOD,32,4032010981,0,DURHAM,NC,27705,0,0,0,0,12/3/1998,12/10/2011,DELETED,A,98,8/21/2008,Ice machine needs cleaning to remove molded water.
59527,4032011840,"PICNIC BASKET, THE",5410-AJ HWY. 55,93,1,,U,1,8/21/2008,1,1 - Restaurant,FOOD,32,4032011840,0,DURHAM,NC,27713,(919) 572-9908,0,0,"LEDO ENTERPRISES, LLC",5/7/2008,12/10/2011,DELETED,A,93,8/21/2008,bathroom door for men was not self-closing
56165,4032010737,THE TAVERN,5504 CHAPEL HILL BLVD,96.5,1,,A,1,8/25/2008,1,1 - Restaurant,FOOD,32,4032010737,0,DURHAM,NC,27707,0,0,0,0,1/23/1996,12/10/2011,DELETED,A,94.5,8/25/2008,clean floors
57963,4032040058,PUPUSERIA AND TAQUERIA ORELLAN,5300 N ROXBORO RD,100,1,,A,1,8/26/2008,4,4 - Push Carts,FOOD,32,4032040058,0,DURHAM,NC,27712,0,0,0,0,1/26/2005,12/10/2011,DELETED,,100,8/26/2008,Clean cutting board.
61799,4032011869,NO. 1 PANDA HOUSE,3808G GUESS ROAD,86,2,,A,10,8/27/2008,1,1 - Restaurant,FOOD,32,4032011869,0,DURHAM,NC,27705,0,0,0,NO. 1 PANDA HOUSE,7/15/2008,12/10/2011,DELETED,B,86,8/27/2008,all food needs to be covered in coolers
57052,4032011687,RED ONION  THE,826 FAYETTTEVILLE ST,0,6,,C,1,8/29/2008,1,1 - Restaurant,FOOD,32,4032011687,SUITE 107,DURHAM,NC,27701,0,0,0,0,10/16/2006,12/10/2011,DELETED,,0,8/29/2008,0
57068,4032011705,DOCE,2500 MERIDIAN PARKWAY,91.5,1,,A,5,9/4/2008,1,1 - Restaurant,FOOD,32,4032011705,0,DURHAM,NC,27713,0,0,0,0,1/8/2007,12/10/2011,DELETED,A,91.5,9/4/2008,Employee prepping food did not have on a hair restraint
57813,4032020633,MAX ORIENT,6910 FAYETTEVILLE RD,98,1,,A,4,9/10/2008,2,2 - Food Stands,FOOD,32,4032020633,SUITE 230,DURHAM,NC,27713,0,0,0,0,2/9/2007,12/10/2011,DELETED,A,96,9/10/2008,"Eggs stored above broccoli in walk-in; thawing raw chicken stored on top shelf.  Raw foods should be stored below produce, cooked and ready to eat foods to prevent contamination.  Some foods uncovered - Keep foods covered to prevent contamination"
59139,4032530064,FOREST AT DUKE  THE,2701 PICKETT RD,4,1,,A,20,9/10/2008,53,53 - Year-Round Swimming Pool,N/A,32,4032530064,0,DURHAM,NC,27705,0,0,0,0,1/30/1996,9/25/2012,ACTIVE,,4,9/10/2008,COLOR BANDS ON STAIRS ARE FADED AND NEED TO BE REPAINTED
57084,4032011721,TAQUERIA LOPEZ,3438 HILLSBOROUGH RD,92,2,,A,10,9/11/2008,1,1 - Restaurant,FOOD,32,4032011721,0,DURHAM,NC,27705,0,0,0,0,1/31/2007,12/10/2011,DELETED,A,90,9/11/2008,"Rice must be heated to 165 degrees quickly-less than 2 hours, hold hot foods above 135 degrees"
57242,4032020051,HARRIS TEETER DELI #114,3823 GUESS ROAD,98,1,,A,7,9/18/2008,2,2 - Food Stands,FOOD,32,4032020051,0,DURHAM,NC,27705,0,0,0,0,7/1/1990,12/10/2011,DELETED,A,98,9/18/2008,Chicken salad in display case - southwest and w/grapes 48 & 52 degrees respectively; must be 45 or below.  Chicken salad was put in freezer for quick chill.
62623,4032430185,UNITY AND LOVE,5 JENEE CT,10,1,,A,7,9/22/2008,43,43 - Residential Care,N/A,32,4032430185,0,DURHAM,NC,27703,0,0,0,0,12/16/2003,7/18/2013,DELETED,,10,9/22/2008,Carpet is stained.
57062,4032011699,DOCTOR'S COVE CARRIBEAN REST,821 N MIAMI BLVD,97,1,,A,7,9/22/2008,1,1 - Restaurant,FOOD,32,4032011699,0,DURHAM,NC,27703,0,0,0,0,1/9/2007,12/10/2011,DELETED,A,97,9/22/2008,Do not store food on floor (Bag of cabbage) Use utensil with handle to dispense foods from bulk foods.
62202,4032140005,BLUE DEVIL CONCESSIONS STAND #5,WALLACE WADE STADIUM,98,1,,A,9,9/27/2008,14,14 - Limited Food,N/A,32,4032140005,DUKE UNIVERSITY,DURHAM,NC,27708,0,0,0,BLUE DEVIL CONCESSIONS,8/27/2008,12/10/2011,DELETED,A,98,9/27/2008,Employee beverages must be covered with lid & straw.
62200,4032140004,BLUE DEVIL CONCESSIONS STAND # 3,WALLACE WADE STADIUM,98,1,,A,9,9/27/2008,14,14 - Limited Food,N/A,32,4032140004,DUKE UNIVERSITY,DURHAM,NC,27708,0,0,0,BLUE DEVIL CONCESSIONS,8/27/2008,12/10/2011,DELETED,A,98,9/27/2008,Need caps - this is in addition to having hair pulled back.
62197,4032140003,BLUE DEVIL CONCESSIONS STAND #2,WALLACE WADE STADIUM,98.5,1,,A,9,9/27/2008,14,14 - Limited Food,N/A,32,4032140003,DUKE UNIVERSITY,DURHAM,NC,27708,0,0,0,BLUE DEVIL CONCESSIONS,8/27/2008,12/10/2011,DELETED,A,98.5,9/27/2008,Need additional ice scoop.
62196,4032140002,BLUE DEVIL CONCESSIONS STAND #1,WALLACE WADE STADIUM,95,1,,A,9,9/27/2008,14,14 - Limited Food,N/A,32,4032140002,DUKE,DURHAM,NC,27708,0,0,0,BLUE DEVIL CONCESSIONS,8/27/2008,12/10/2011,DELETED,A,95,9/27/2008,Employee beverages must have lid & straw.
62203,4032140006,BLUE DEVIL CONCESSIONS STAND #6,WALLACE WADE STADIUM,99.5,1,,A,9,9/27/2008,14,14 - Limited Food,N/A,32,4032140006,DUKE UNIVERSITY,DURHAM,NC,27708,0,0,0,BLUE DEVIL CONCESSION,8/27/2008,12/10/2011,DELETED,A,99.5,9/27/2008,Keep boxes of single service items off floor; no automatic dispenser for cups so keep in plastic sleeves (open bag & roll down around cups.)
59131,4032530044,DUKE UNIVERSITY AQUATIC CTR LAP POOL,AQUATIC CENTER WEST CAMPUS,6,1,,A,20,9/30/2008,53,53 - Year-Round Swimming Pool,N/A,32,4032530044,200 FACILITIES CTR,DURHAM,NC,27708,0,0,0,0,1/30/1996,10/2/2012,ACTIVE,,6,9/30/2008,POST REQUIRED 'SHOWER BEFORE USING POOL' SIGN
60719,4032430052,BRIDGING THE GAP RESIDENTIAL SERVICES,224 OVERLOOK DRIVE,6,1,,A,2,10/8/2008,43,43 - Residential Care,N/A,32,4032430052,0,DURHAM,NC,27712,(919) 479-8041,0,0,0,6/2/2008,12/10/2011,DELETED,,6,10/8/2008,Clean stove and cabinets
58660,4032420244,CUP OF SALVATION CHILD DEV,1020 HWY 70 E,5,1,,A,6,10/13/2008,42,42 - Child Care,N/A,32,4032420244,P O BOX 11617,DURHAM,NC,27703,0,0,0,0,9/2/2003,12/10/2011,DELETED,,5,10/13/2008,Identiify baby bottle(s) as shown.
56847,4032011481,GRAYSON'S CAFE,2300 CHAPEL HILL RD,99.5,1,,A,3,10/14/2008,1,1 - Restaurant,FOOD,32,4032011481,0,DURHAM,NC,27707,0,0,0,0,3/11/2004,12/10/2011,DELETED,A,99.5,10/14/2008,Dumpster door should be closed until in use.
60854,4032430131,RACHEL MARTIN,2401 ANACOSTA STREET,6,1,,A,3,10/14/2008,43,43 - Residential Care,N/A,32,4032430131,0,DURHAM,NC,27707,(919) 680-2083,0,0,0,6/2/2008,7/18/2013,DELETED,,6,10/14/2008,blinds need replacing
56754,4032011345,BIG JOHN'S,2321 HWY 54 EAST,92,1,,M,4,10/15/2008,1,1 - Restaurant,FOOD,32,4032011345,0,CHAPEL HILL,NC,27514,0,0,0,0,3/26/2003,12/10/2011,DELETED,A,92,10/15/2008,"Bathrooms in poor condition, not clean.  Men's toilet is leaking, needs repair.  No paper towels provided in either restroom."
60726,4032430056,BLEVINS TOO,2325 COOK ROAD,4,1,,A,5,10/16/2008,43,43 - Residential Care,N/A,32,4032430056,0,DURHAM,NC,27713,(919) 806-2003,0,0,0,6/2/2008,7/18/2013,DELETED,,4,10/16/2008,stained carpet in the living room.  steam clean or deep surface cleaning to stained areas or carpets with moisture issues
58645,4032420227,LITTLE PEOPLE 2,3610 WAKE FOREST HWY,2,1,,A,6,10/16/2008,42,42 - Child Care,N/A,32,4032420227,0,DURHAM,NC,27703,0,0,0,0,7/25/2002,12/10/2011,DELETED,,2,10/16/2008,Increase light intensity over diaper station to 50fc.
60887,4032430161,TRANQUILITY HOUSE ADOLESCENT CENTER,1115 HORTON ROAD,5,1,,A,2,10/16/2008,43,43 - Residential Care,N/A,32,4032430161,0,DURHAM,NC,27704,(919) 477-7093,0,0,0,6/2/2008,7/18/2013,DELETED,,5,10/16/2008,Clean storage areas.
59626,4032011839,GRAYSON'S BISTRO,3600 N DUKE ST SUITE 17,99,1,,A,2,10/17/2008,1,1 - Restaurant,FOOD,32,4032011839,0,DURHAM,NC,27704,0,0,0,GRAYSON'S CAFE INC,5/2/2008,12/10/2011,DELETED,A,99,10/17/2008,Improve cutting boards.
58666,4032420250,JUMPING JACKS ACADEMY III,3020 WEAVER ST  17,4,1,,A,3,10/20/2008,42,42 - Child Care,N/A,32,4032420250,0,DURHAM,NC,27707,0,0,0,0,5/26/2004,10/15/2012,DELETED,,4,10/20/2008,Clean      and in good repair sanitized and maintain.
56665,4032011254,DON CECILIO'S,5279 A AND B N ROXBORO ROAD,98.5,1,,A,2,10/21/2008,1,1 - Restaurant,FOOD,32,4032011254,0,DURHAM,NC,27712,0,0,0,0,2/18/2002,12/10/2011,DELETED,A,96.5,10/21/2008,Clean hard to reach areas.
58459,4032420037,GLAXO CHILD DEVELOPMENT CENTER,15 MOORE DR,6,1,,A,5,10/22/2008,42,42 - Child Care,N/A,32,4032420037,0,RTP,NC,27709,(919) 483-6713,glxr@brighthorizons.com,0,0,3/21/1995,12/10/2011,ACTIVE,,6,10/22/2008,a few foamy chairs were torn in the toddler rooms.  shall be in good repair
58296,4032300018,HARRIS TEETER 114,3823 GUESS RD,99.5,1,,A,7,10/23/2008,30,30 - Meat Market,FOOD,32,4032300018,0,DURHAM,NC,27705,0,0,0,HARRIS TEETER 114,8/3/1994,12/10/2011,DELETED,A,99.5,10/23/2008,Clean in storage compartments under display case - dead flies.
56903,4032011537,PIZZA PALACE,3218 GUESS ROAD,96,1,,A,7,11/4/2008,1,1 - Restaurant,FOOD,32,4032011537,0,DURHAM,NC,27705,0,0,0,0,10/20/2004,12/10/2011,DELETED,A,96,11/4/2008,Clean equipment throughout.
58820,4032440083,TUTORIAL AND 1/2  CHRISTIAN SCHOOL,3026 WAKE FOREST HWY,98,1,,A,6,11/10/2008,44,44 - School Building,N/A,32,4032440083,0,DURHAM,NC,27703,(919) 596-8612,0,0,0,9/25/2000,7/29/2013,DELETED,,98,11/10/2008,replenish hand paper  towel
55886,4032010454,"PANDA INN, CHINESE RESTAURANT",4600 CHAPEL HILL BLVD,84,2,,A,9,11/10/2008,1,1 - Restaurant,FOOD,32,4032010454,0,DURHAM,NC,27707,0,0,0,0,3/10/1992,12/10/2011,DELETED,B,84,11/10/2008,Always keep items covere under top/ chicken on bottom the Beef then Fish on top (had serveral items uncovered in coolers/ had fish under chicken)
63264,4032430199,HOUSE OF CARE,1201 N MANGUM ST,4,1,,A,1,11/10/2008,43,43 - Residential Care,N/A,32,4032430199,0,DURHAM,NC,27701,0,0,0,HOUSE OF CARE,11/7/2008,7/18/2013,DELETED,,4,11/10/2008,Keep storage off floor
60846,4032430125,OUTREACH HOME II,2002 OTIS STREET,10,1,,A,3,11/11/2008,43,43 - Residential Care,N/A,32,4032430125,0,DURHAM,NC,27707,(919) 530-1440,0,0,0,6/2/2008,12/10/2011,ACTIVE,,10,11/11/2008,carpet is dirty and needs replaced in some rooms
63274,4032430200,HADRIAN HOUSE,5824 HADRIAN DR,2,1,,A,6,11/12/2008,43,43 - Residential Care,N/A,32,4032430200,0,DURHAM,NC,27703,0,0,0,0,11/11/2008,7/18/2013,DELETED,,2,11/12/2008,Clean window sills/troughs where required.
57807,4032020627,BORDEAU CATERING,2945 S MIAMI BLVD,97.5,1,,A,5,11/13/2008,2,2 - Food Stands,FOOD,32,4032020627,UNIT 122,DURHAM,NC,27703,0,0,0,0,11/17/2006,12/10/2011,DELETED,A,97.5,11/13/2008,build-up on the walls in the kitchen area
57647,4032020465,HOT DOG,1058 W CLUB BLVD,97.5,1,,A,1,11/17/2008,2,2 - Food Stands,FOOD,32,4032020465,0,DURHAM,NC,27701,0,0,0,0,7/23/2001,12/10/2011,DELETED,A,97.5,11/17/2008,Always keep slaw and cold foods at 45 or below
59497,4032030108,PIG OUT EXPRESS,5126 N. ROXBORO RD,0,1,,A,2,11/18/2008,3,3 - Mobile Food,FOOD,32,4032030108,0,DURHAM,NC,27704,0,0,0,JANELLE POWERS,4/8/2008,12/10/2011,DELETED,,0,11/18/2008,Clean equipment.
56875,4032011509,SUBWAY,800 PARK OFFICES DRIVE,98,1,,A,5,11/18/2008,1,1 - Restaurant,FOOD,32,4032011509,0,DURHAM,NC,27709,(919) 224-8811,0,0,0,6/15/2004,12/10/2011,DELETED,A,98,11/18/2008,few containers were dirty in the clean area.  shall be cleaned and sanitized
57046,4032011681,DOUG'S SEAFOOD,2000 CHAPEL HILL RD,0,6,,C,3,11/18/2008,1,1 - Restaurant,FOOD,32,4032011681,0,DURHAM,NC,27707,0,0,0,0,8/3/2006,12/10/2011,DELETED,,0,11/18/2008,0
57830,4032020650,PIG OUT EXPRESS,5126 N. ROXBORO ROAD,98,1,,A,2,11/18/2008,2,2 - Food Stands,FOOD,32,4032020650,0,DURHAM,NC,27704,0,0,0,0,1/23/2008,12/10/2011,DELETED,A,98,11/18/2008,Clean stoves & refrigerators.
62245,4032011877,TOKYO FUN,4325 HGWY 55,97,1,,U,5,11/18/2008,1,1 - Restaurant,FOOD,32,4032011877,0,DURHAM,NC,27713,0,0,0,0,8/14/2008,12/10/2011,DELETED,A,95,11/18/2008,build-up inside of the ice machine.  knives stored in the open cracks between table and cooling unit.  clean container holding clean items
56978,4032011613,ELEGANT TOUCHES CATERING,4206 S ALSTON AVE,98.5,1,,A,5,11/20/2008,1,1 - Restaurant,FOOD,32,4032011613,0,DURHAM,NC,27713,0,0,0,0,8/16/2005,12/10/2011,DELETED,A,96.5,11/20/2008,eggs stored above produce in the reach-in cooler
